,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_learning_rate,params_n_steps,params_net_arch,params_safe_max_rho,state
0,0,0.06473214285714286,2025-09-14 00:16:40.479644,2025-09-14 00:17:16.913285,0 days 00:00:36.433641,16,0.9627562676834567,1.2221634728708957e-06,16,200,0.9420528446875918,COMPLETE
1,1,0.06498015873015874,2025-09-14 00:17:16.913763,2025-09-14 00:17:51.478306,0 days 00:00:34.564543,16,0.9631193852843204,1.4019284993680807e-06,16,200,0.9524447498155564,COMPLETE
2,2,0.1345486111111111,2025-09-14 00:17:51.478468,2025-09-14 00:18:28.117104,0 days 00:00:36.638636,8,0.9964665425272368,3.242386213249653e-06,16,300,0.9838210254655968,COMPLETE
3,3,0.0913938492063492,2025-09-14 00:18:28.117243,2025-09-14 00:19:02.571632,0 days 00:00:34.454389,8,0.970663570067349,6.671597462538869e-06,16,300,0.9643530237362182,COMPLETE
4,4,0.13442460317460317,2025-09-14 00:19:02.571770,2025-09-14 00:19:41.173107,0 days 00:00:38.601337,8,0.9861287274995773,1.6561971546725016e-06,16,300,0.977820214784539,COMPLETE
5,5,0.13442460317460317,2025-09-14 00:19:41.173266,2025-09-14 00:20:20.138847,0 days 00:00:38.965581,8,0.9296837185949124,2.3052551683898094e-06,8,300,0.9787769439391968,COMPLETE
6,6,0.13467261904761904,2025-09-14 00:20:20.138986,2025-09-14 00:21:00.778342,0 days 00:00:40.639356,16,0.9791119973626711,3.206703664324542e-06,16,500,0.9921493596575314,COMPLETE
7,7,0.13467261904761904,2025-09-14 00:21:00.778599,2025-09-14 00:21:42.745415,0 days 00:00:41.966816,16,0.9260688761943224,1.850066949228548e-06,16,500,0.9967426589228081,COMPLETE
8,8,0.13467261904761904,2025-09-14 00:21:42.745662,2025-09-14 00:23:58.300308,0 days 00:02:15.554646,16,0.9838361617104815,4.194001868217331e-06,128,500,0.9795407967412303,COMPLETE
9,9,0.06498015873015874,2025-09-14 00:23:58.300500,2025-09-14 00:24:34.319349,0 days 00:00:36.018849,16,0.9584973468077567,6.648495550211925e-06,8,100,0.947633916640409,COMPLETE
